I_BON_001	けもののホネ
E_CLO_0045	スターなスーツ
E_CLO_0046	無法者のベスト
E_CLO_0048	ドラゴンジャケット
E_CLO_0049	ギャルの服
E_CLO_0050	メタルキングベスト
E_CLO_0051	そうてんのトーガ
E_CLO_0052	勇者のころも
E_CLO_0053	海賊王のコート
E_CLO_0054	海賊王のマント
E_CLO_0055	賢者のローブ
E_CLO_0056	アテナのころも
E_CLO_0057	トレビアンスーツ
E_CLO_0058	カリスマスーツ
E_CLO_0059	神竜のぶとうぎ
E_CLO_0060	王者のマント
E_CLO_0061	大樹のマント
E_CLO_0062	マーシャルマント
E_CLO_0063	イシの村人服
E_CLO_0064	バニースーツ
E_CLO_0065	大海賊のコート
E_CLO_0066	ゼウスのマント
E_CLO_0067	エトワールスーツ
E_CLO_0068	きわどい水着
E_CLO_0069	なりきんベスト
E_CLO_0070	しあわせのベスト
E_CLO_0071	ラッキーベスト
E_CLO_1001	パレードの服＋１
E_CLO_1002	布の服＋１
E_CLO_1003	たびびとの服＋１
E_CLO_1004	ステテコパンツ＋１
E_CLO_1005	騎士団の服＋１
E_CLO_1006	皮のドレス＋１
E_CLO_1007	レザーマント＋１
E_CLO_1009	毛皮のポンチョ＋１
E_CLO_1010	みかわしの服＋１
E_CLO_1011	おしゃれなベスト＋１
E_CLO_1012	プリティエプロン＋１
E_CLO_1013	ラブリーエプロン＋１
E_CLO_1014	おしゃれなスーツ＋１
E_CLO_1015	シルクのビスチェ＋１
E_CLO_1016	スパンコールドレス＋１
E_CLO_1017	マジカルスカート＋１
E_CLO_1018	ビロードマント＋１
E_CLO_1019	竜のどうぎ＋１
E_CLO_1020	メダ女の制服＋１
E_CLO_1021	毛皮のベスト＋１
E_CLO_1022	ぶどうぎ＋１
E_CLO_1023	ひかりのドレス＋１
E_CLO_1024	ひかりのタキシード＋１
E_CLO_1025	きぞくのジャケット＋１
E_CLO_1026	しっこくのマント＋１
E_CLO_1027	聖女のドレス＋１
E_CLO_1028	おどりこの服＋１
E_CLO_1029	しんぴのビスチェ＋１
E_CLO_1033	あぶない水着＋１
E_CLO_1034	はやてのベスト＋１
E_CLO_1035	大盗賊のマント＋１
E_CLO_1036	ネコのきぐるみ＋１
E_CLO_1037	ハンサムスーツ＋１
E_CLO_1038	ユグノアのマント＋１
E_CLO_1039	ジェネラルマント＋１
E_CLO_1040	ドハデなスーツ＋１
E_CLO_1042	ぶしんのドレス＋１
E_CLO_1043	バンデッドチェイン＋１
E_CLO_1044	はぐれメタルのベスト＋１
E_CLO_1045	スターなスーツ＋１
E_CLO_1046	無法者のベスト＋１
E_CLO_1048	ドラゴンジャケット＋１
E_CLO_1049	ギャルの服＋１
E_CLO_1050	メタルキングベスト＋１
E_CLO_1051	そうてんのトーガ＋１
E_CLO_1052	勇者のころも＋１
E_CLO_1053	海賊王のコート＋１
E_CLO_1054	海賊王のマント＋１
E_CLO_1055	賢者のローブ＋１
E_CLO_1056	アテナのころも＋１
E_CLO_1057	トレビアンスーツ＋１
E_CLO_1058	カリスマスーツ＋１
E_CLO_1059	神竜のぶとうぎ＋１
E_CLO_1060	王者のマント＋１
E_CLO_1061	大樹のマント＋１
E_CLO_1062	マーシャルマント＋１
E_CLO_1063	イシの村人服＋１
E_CLO_1064	バニースーツ＋１
E_CLO_1065	大海賊のコート＋１
E_CLO_1066	ゼウスのマント＋１
E_CLO_1067	エトワールスーツ＋１
E_CLO_1068	きわどい水着＋１
E_CLO_1069	なりきんベスト＋１
E_CLO_1070	しあわせのベスト＋１
E_CLO_1071	ラッキーベスト＋１
E_CLO_2001	パレードの服＋２
E_CLO_2002	布の服＋２
E_CLO_2003	たびびとの服＋２
E_CLO_2004	ステテコパンツ＋２
E_CLO_2005	騎士団の服＋２
E_CLO_2006	皮のドレス＋２
E_CLO_2007	レザーマント＋２
E_CLO_2009	毛皮のポンチョ＋２
E_CLO_2010	みかわしの服＋２
E_CLO_2011	おしゃれなベスト＋２
E_CLO_2012	プリティエプロン＋２
E_CLO_2013	ラブリーエプロン＋２
E_CLO_2014	おしゃれなスーツ＋２
E_CLO_2015	シルクのビスチェ＋２
E_CLO_2016	スパンコールドレス＋２
E_CLO_2017	マジカルスカート＋２
E_CLO_2018	ビロードマント＋２
E_CLO_2019	竜のどうぎ＋２
E_CLO_2020	メダ女の制服＋２
E_CLO_2021	毛皮のベスト＋２
E_CLO_2022	ぶどうぎ＋２
E_CLO_2023	ひかりのドレス＋２
E_CLO_2024	ひかりのタキシード＋２
E_CLO_2025	きぞくのジャケット＋２
E_CLO_2026	しっこくのマント＋２
E_CLO_2027	聖女のドレス＋２
E_CLO_2028	おどりこの服＋２
E_CLO_2029	しんぴのビスチェ＋２
E_CLO_2033	あぶない水着＋２
E_CLO_2034	はやてのベスト＋２
E_CLO_2035	大盗賊のマント＋２
E_CLO_2036	ネコのきぐるみ＋２
E_CLO_2037	ハンサムスーツ＋２
E_CLO_2038	ユグノアのマント＋２
E_CLO_2039	ジェネラルマント＋２
E_CLO_2040	ドハデなスーツ＋２
E_CLO_2042	ぶしんのドレス＋２
E_CLO_2043	バンデッドチェイン＋２
E_CLO_2044	はぐれメタルのベスト＋２
E_CLO_2045	スターなスーツ＋２
E_CLO_2046	無法者のベスト＋２
E_CLO_2048	ドラゴンジャケット＋２
E_CLO_2049	ギャルの服＋２
E_CLO_2050	メタルキングベスト＋２
E_CLO_2051	そうてんのトーガ＋２
E_CLO_2052	勇者のころも＋２
E_CLO_2053	海賊王のコート＋２
E_CLO_2054	海賊王のマント＋２
E_CLO_2055	賢者のローブ＋２
E_CLO_2056	アテナのころも＋２
E_CLO_2057	トレビアンスーツ＋２
E_CLO_2058	カリスマスーツ＋２
E_CLO_2059	神竜のぶとうぎ＋２
E_CLO_2060	王者のマント＋２
E_CLO_2061	大樹のマント＋２
E_CLO_2062	マーシャルマント＋２
E_CLO_2063	イシの村人服＋２
E_CLO_2064	バニースーツ＋２
E_CLO_2065	大海賊のコート＋２
E_CLO_2066	ゼウスのマント＋２
E_CLO_2067	エトワールスーツ＋２
E_CLO_2068	きわどい水着＋２
E_CLO_2069	なりきんベスト＋２
E_CLO_2070	しあわせのベスト＋２
E_CLO_2071	ラッキーベスト＋２
E_CLO_3001	パレードの服＋３
E_CLO_3002	布の服＋３
E_CLO_3003	たびびとの服＋３
E_CLO_3004	ステテコパンツ＋３
E_CLO_3005	騎士団の服＋３
E_CLO_3006	皮のドレス＋３
E_CLO_3007	レザーマント＋３
E_CLO_3009	毛皮のポンチョ＋３
E_CLO_3010	みかわしの服＋３
E_CLO_3011	おしゃれなベスト＋３
E_CLO_3012	プリティエプロン＋３
E_CLO_3013	ラブリーエプロン＋３
E_CLO_3014	おしゃれなスーツ＋３
E_CLO_3015	シルクのビスチェ＋３
E_CLO_3016	スパンコールドレス＋３
E_CLO_3017	マジカルスカート＋３
E_CLO_3018	ビロードマント＋３
E_CLO_3019	竜のどうぎ＋３
E_CLO_3020	メダ女の制服＋３
E_CLO_3021	毛皮のベスト＋３
E_CLO_3022	ぶどうぎ＋３
E_CLO_3023	ひかりのドレス＋３
E_CLO_3024	ひかりのタキシード＋３
E_CLO_3025	きぞくのジャケット＋３
E_CLO_3026	しっこくのマント＋３
E_CLO_3027	聖女のドレス＋３
E_CLO_3028	おどりこの服＋３
E_CLO_3029	しんぴのビスチェ＋３
E_CLO_3033	あぶない水着＋３
E_CLO_3034	はやてのベスト＋３
E_CLO_3035	大盗賊のマント＋３
E_CLO_3036	ネコのきぐるみ＋３
E_CLO_3037	ハンサムスーツ＋３
E_CLO_3038	ユグノアのマント＋３
E_CLO_3039	ジェネラルマント＋３
E_CLO_3040	ドハデなスーツ＋３
E_CLO_3042	ぶしんのドレス＋３
E_CLO_3043	バンデッドチェイン＋３
E_CLO_3044	はぐれメタルのベスト＋３
E_CLO_3045	スターなスーツ＋３
E_CLO_3046	無法者のベスト＋３
E_CLO_3048	ドラゴンジャケット＋３
E_CLO_3049	ギャルの服＋３
E_CLO_3050	メタルキングベスト＋３
E_CLO_3051	そうてんのトーガ＋３
E_CLO_3052	勇者のころも＋３
E_CLO_3053	海賊王のコート＋３
E_CLO_3054	海賊王のマント＋３
E_CLO_3055	賢者のローブ＋３
E_CLO_3056	アテナのころも＋３
E_CLO_3057	トレビアンスーツ＋３
E_CLO_3058	カリスマスーツ＋３
E_CLO_3059	神竜のぶとうぎ＋３
E_CLO_3060	王者のマント＋３
E_CLO_3061	大樹のマント＋３
E_CLO_3062	マーシャルマント＋３
E_CLO_3063	イシの村人服＋３
E_CLO_3064	バニースーツ＋３
E_CLO_3065	大海賊のコート＋３
E_CLO_3066	ゼウスのマント＋３
E_CLO_3067	エトワールスーツ＋３
E_CLO_3068	きわどい水着＋３
E_CLO_3069	なりきんベスト＋３
E_CLO_3070	しあわせのベスト＋３
E_CLO_3071	ラッキーベスト＋３
E_HAT_0001	バンダナ
E_HAT_0002	皮のぼうし
E_HAT_0003	ヘアバンド
E_HAT_0004	とんがりぼうし
E_HAT_0005	ターバン
E_HAT_0006	はねぼうし
E_HAT_0007	うさみみバンド
E_HAT_0008	石のぼうし
E_HAT_0009	毛皮のフード
E_HAT_0010	風のぼうし
E_HAT_0011	サンゴのかみかざり
E_HAT_0012	ブロンズキャップ
E_HAT_0013	しっぷうのバンダナ
E_HAT_0014	ぎんのかみかざり
E_HAT_0015	マジカルハット
E_HAT_0016	キャプテンハット
E_HAT_0017	きんのサークレット
E_HAT_0018	かげのターバン
E_HAT_0019	はねかざりバンド
E_HAT_0020	まじょのターバン
E_HAT_0021	まがんのぼうし
E_HAT_0022	しあわせのぼうし
E_HAT_0023	インテリハット
E_HAT_0024	やみのターバン
E_HAT_0025	バタフライマスク
E_HAT_0026	ほしのサークレット
E_HAT_0027	パピヨンマスク
E_HAT_0028	大盗賊のターバン
E_HAT_0029	ネコのかぶりもの
E_HAT_0032	神官のぼうし
E_HAT_0033	ブリリアンハット
E_HAT_0034	ウィッチハット
E_HAT_0035	おうごんのティアラ
E_HAT_0036	ファントムマスク
E_HAT_0037	無法者のバンダナ
E_HAT_0039	ギャルのコサージュ
E_HAT_0040	ドラゴンバンダナ）
E_HAT_0041	はるかぜのぼうし
E_HAT_0042	なつぐものぼうし
E_HAT_0043	あきさめのぼうし
E_HAT_0044	ふゆぞらのぼうし
E_HAT_0045	海賊王のぼうし
E_HAT_0046	海賊王のターバン
E_HAT_0047	とこしえのぼうし
E_HAT_0048	トレビアンクラウン
E_HAT_0050	神竜のかみどめ
E_HAT_0051	聖賢のサークレット
E_HAT_0052	プリティキャップ
E_HAT_0053	ラブリーバンド
E_HAT_0054	エトワールクラウン
E_HAT_0056	大海賊のぼうし
E_HAT_1001	バンダナ＋１
E_HAT_1002	皮のぼうし＋１
E_HAT_1003	ヘアバンド＋１
E_HAT_1004	とんがりぼうし＋１
E_HAT_1005	ターバン＋１
E_HAT_1006	はねぼうし＋１
E_HAT_1007	うさみみバンド＋１
E_HAT_1008	石のぼうし＋１
E_HAT_1009	毛皮のフード＋１
E_HAT_1010	風のぼうし＋１
E_HAT_1011	サンゴのかみかざり＋１
E_HAT_1012	ブロンズキャップ＋１
E_HAT_1013	しっぷうのバンダナ＋１
E_HAT_1014	ぎんのかみかざり＋１
E_HAT_1015	マジカルハット＋１
E_HAT_1016	キャプテンハット＋１
E_HAT_1017	きんのサークレット＋１
E_HAT_1018	かげのターバン＋１
E_HAT_1019	はねかざりバンド＋１
E_HAT_1020	まじょのターバン＋１
E_HAT_1021	まがんのぼうし＋１
E_HAT_1022	しあわせのぼうし＋１
E_HAT_1023	インテリハット＋１
E_HAT_1024	やみのターバン＋１
E_HAT_1025	バタフライマスク＋１
E_HAT_1026	ほしのサークレット＋１
E_HAT_1027	パピヨンマスク＋１
E_HAT_1028	大盗賊のターバン＋１
E_HAT_1029	ネコのかぶりもの＋１
E_HAT_1032	神官のぼうし＋１
E_HAT_1033	ブリリアンハット＋１
E_HAT_1034	ウィッチハット＋１
E_HAT_1035	おうごんのティアラ＋１
E_HAT_1036	ファントムマスク＋１
E_HAT_1037	無法者のバンダナ＋１
E_HAT_1039	ギャルのコサージュ＋１
E_HAT_1040	ドラゴンバンダナ＋１
E_HAT_1041	はるかぜのぼうし＋１
E_HAT_1042	なつぐものぼうし＋１
E_HAT_1043	あきさめのぼうし＋１
E_HAT_1044	ふゆぞらのぼうし＋１
E_HAT_1045	海賊王のぼうし＋１
E_HAT_1046	海賊王のターバン＋１
E_HAT_1047	とこしえのぼうし＋１
E_HAT_1048	トレビアンクラウン＋１
E_HAT_1050	神竜のかみどめ＋１
E_HAT_1051	聖賢のサークレット＋１
E_HAT_1052	プリティキャップ＋１
E_HAT_1053	ラブリーバンド＋１
E_HAT_1054	エトワールクラウン＋１
E_HAT_1056	大海賊のぼうし＋１
E_HAT_2001	バンダナ＋２
E_HAT_2002	皮のぼうし＋２
E_HAT_2003	ヘアバンド＋２
E_HAT_2004	とんがりぼうし＋２
E_HAT_2005	ターバン＋２
E_HAT_2006	はねぼうし＋２
E_HAT_2007	うさみみバンド＋２
E_HAT_2008	石のぼうし＋２
E_HAT_2009	毛皮のフード＋２
E_HAT_2010	風のぼうし＋２
E_HAT_2011	サンゴのかみかざり＋２
E_HAT_2012	ブロンズキャップ＋２
E_HAT_2013	しっぷうのバンダナ＋２
E_HAT_2014	ぎんのかみかざり＋２
E_HAT_2015	マジカルハット＋２
E_HAT_2016	キャプテンハット＋２
E_HAT_2017	きんのサークレット＋２
E_HAT_2018	かげのターバン＋２
E_HAT_2019	はねかざりバンド＋２
E_HAT_2020	まじょのターバン＋２
E_HAT_2021	まがんのぼうし＋２
E_HAT_2022	しあわせのぼうし＋２
E_HAT_2023	インテリハット＋２
E_HAT_2024	やみのターバン＋２
E_HAT_2025	バタフライマスク＋２
E_HAT_2026	ほしのサークレット＋２
E_HAT_2027	パピヨンマスク＋２
E_HAT_2028	大盗賊のターバン＋２
E_HAT_2029	ネコのかぶりもの＋２
E_HAT_2032	神官のぼうし＋２
E_HAT_2033	ブリリアンハット＋２
E_HAT_2034	ウィッチハット＋２
E_HAT_2035	おうごんのティアラ＋２
E_HAT_2036	ファントムマスク＋２
E_HAT_2037	無法者のバンダナ＋２
E_HAT_2039	ギャルのコサージュ＋２
E_HAT_2040	ドラゴンバンダナ＋２
E_HAT_2041	はるかぜのぼうし＋２
E_HAT_2042	なつぐものぼうし＋２
E_HAT_2043	あきさめのぼうし＋２
E_HAT_2044	ふゆぞらのぼうし＋２
E_HAT_2045	海賊王のぼうし＋２
E_HAT_2046	海賊王のターバン＋２
E_HAT_2047	とこしえのぼうし＋２
E_HAT_2048	トレビアンクラウン＋２
E_HAT_2050	神竜のかみどめ＋２
E_HAT_2051	聖賢のサークレット＋２
E_HAT_2052	プリティキャップ＋２
E_HAT_2053	ラブリーバンド＋２
E_HAT_2054	エトワールクラウン＋２
E_HAT_2056	大海賊のぼうし＋２
E_HAT_3001	バンダナ＋３
E_HAT_3002	皮のぼうし＋３
E_HAT_3003	ヘアバンド＋３
E_HAT_3004	とんがりぼうし＋３
E_HAT_3005	ターバン＋３
E_HAT_3006	はねぼうし＋３
E_HAT_3007	うさみみバンド＋３
E_HAT_3008	石のぼうし＋３
E_HAT_3009	毛皮のフード＋３
E_HAT_3010	風のぼうし＋３
E_HAT_3011	サンゴのかみかざり＋３
E_HAT_3012	ブロンズキャップ＋３
E_HAT_3013	しっぷうのバンダナ＋３
E_HAT_3014	ぎんのかみかざり＋３
E_HAT_3015	マジカルハット＋３
E_HAT_3016	キャプテンハット＋３
E_HAT_3017	きんのサークレット＋３
E_HAT_3018	かげのターバン＋３
E_HAT_3019	はねかざりバンド＋３
E_HAT_3020	まじょのターバン＋３
E_HAT_3021	まがんのぼうし＋３
E_HAT_3022	しあわせのぼうし＋３
E_HAT_3023	インテリハット＋３
E_HAT_3024	やみのターバン＋３
E_HAT_3025	バタフライマスク＋３
E_HAT_3026	ほしのサークレット＋３
E_HAT_3027	パピヨンマスク＋３
E_HAT_3028	大盗賊のターバン＋３
E_HAT_3029	ネコのかぶりもの＋３
E_HAT_3032	神官のぼうし＋３
E_HAT_3033	ブリリアンハット＋３
E_HAT_3034	ウィッチハット＋３
E_HAT_3035	おうごんのティアラ＋３
E_HAT_3036	ファントムマスク＋３
E_HAT_3037	無法者のバンダナ＋３
E_HAT_3039	ギャルのコサージュ＋３
E_HAT_3040	ドラゴンバンダナ＋３
E_HAT_3041	はるかぜのぼうし＋３
E_HAT_3042	なつぐものぼうし＋３
E_HAT_3043	あきさめのぼうし＋３
E_HAT_3044	ふゆぞらのぼうし＋３
E_HAT_3045	海賊王のぼうし＋３
E_HAT_3046	海賊王のターバン＋３
E_HAT_3047	とこしえのぼうし＋３
E_HAT_3048	トレビアンクラウン＋３
E_HAT_3050	神竜のかみどめ＋３
E_HAT_3051	聖賢のサークレット＋３
E_HAT_3052	プリティキャップ＋３
E_HAT_3053	ラブリーバンド＋３
E_HAT_3054	エトワールクラウン＋３
E_HAT_3056	大海賊のぼうし＋３
E_HEL_0001	てつかぶと
E_HEL_0003	てっかめん
E_HEL_0004	はがねのかぶと
E_HEL_0005	戦士のかぶと
E_HEL_0007	プラチナヘッド
E_HEL_0008	アイアンヘッドギア
E_HEL_0009	サタンヘルム
E_HEL_0010	ミスリルヘルム
E_HEL_0011	知力のかぶと
E_HEL_0012	猛牛ヘルム
E_HEL_0013	グレートヘルム
E_HEL_0014	メタスラヘルム
E_HEL_0015	ユグノアのかぶと
E_HEL_0016	聖女のティアラ
E_HEL_0017	戦姫のティアラ
E_HEL_0018	ユグノアの王冠
E_HEL_0019	ドクロのかぶと
E_HEL_0020	はぐれメタルヘルム
E_HEL_0022	メタルキングヘルム
E_HEL_0023	しんぱんのかぶと
E_HEL_0024	勇者のかぶと
E_HEL_0025	アーウィンのかぶと
E_HEL_0026	アテナのかんむり
E_HEL_0027	ミネルヴァのティアラ
E_HEL_0028	太陽のかんむり
E_HEL_0029	大樹の王冠
E_HEL_0030	英雄王のかぶと
E_HEL_0031	アポロンのかんむり
E_HEL_1001	てつかぶと＋１
E_HEL_1003	てっかめん＋１
E_HEL_1004	はがねのかぶと＋１
E_HEL_1005	戦士のかぶと＋１
E_HEL_1007	プラチナヘッド＋１
E_HEL_1008	アイアンヘッドギア＋１
E_HEL_1009	サタンヘルム＋１
E_HEL_1010	ミスリルヘルム＋１
E_HEL_1011	知力のかぶと＋１
E_HEL_1012	猛牛ヘルム＋１
E_HEL_1013	グレートヘルム＋１
E_HEL_1014	メタスラヘルム＋１
E_HEL_1015	ユグノアのかぶと＋１
E_HEL_1016	聖女のティアラ＋１
E_HEL_1017	戦姫のティアラ＋１
E_HEL_1018	ユグノアの王冠＋１
E_HEL_1019	ドクロのかぶと＋１
E_HEL_1020	はぐれメタルヘルム＋１
E_HEL_1022	メタルキングヘルム＋１
E_HEL_1023	しんぱんのかぶと＋１
E_HEL_1024	勇者のかぶと＋１
E_HEL_1025	アーウィンのかぶと＋１
E_HEL_1026	アテナのかんむり＋１
E_HEL_1027	ミネルヴァのティアラ＋１
E_HEL_1028	太陽のかんむり＋１
E_HEL_1029	大樹の王冠＋１
E_HEL_1030	英雄王のかぶと＋１
E_HEL_1031	アポロンのかんむり＋１
E_HEL_2001	てつかぶと＋２
E_HEL_2003	てっかめん＋２
E_HEL_2004	はがねのかぶと＋２
E_HEL_2005	戦士のかぶと＋２
E_HEL_2007	プラチナヘッド＋２
E_HEL_2008	アイアンヘッドギア＋２
E_HEL_2009	サタンヘルム＋２
E_HEL_2010	ミスリルヘルム＋２
E_HEL_2011	知力のかぶと＋２
E_HEL_2012	猛牛ヘルム＋２
E_HEL_2013	グレートヘルム＋２
E_HEL_2014	メタスラヘルム＋２
E_HEL_2015	ユグノアのかぶと＋２
E_HEL_2016	聖女のティアラ＋２
E_HEL_2017	戦姫のティアラ＋２
E_HEL_2018	ユグノアの王冠＋２
E_HEL_2019	ドクロのかぶと＋２
E_HEL_2020	はぐれメタルヘルム＋２
E_HEL_2022	メタルキングヘルム＋２
E_HEL_2023	しんぱんのかぶと＋２
E_HEL_2024	勇者のかぶと＋２
E_HEL_2025	アーウィンのかぶと＋２
E_HEL_2026	アテナのかんむり＋２
E_HEL_2027	ミネルヴァのティアラ＋２
E_HEL_2028	太陽のかんむり＋２
E_HEL_2029	大樹の王冠＋２
E_HEL_2030	英雄王のかぶと＋２
E_HEL_2031	アポロンのかんむり＋２
E_HEL_3001	てつかぶと＋３
E_HEL_3003	てっかめん＋３
E_HEL_3004	はがねのかぶと＋３
E_HEL_3005	戦士のかぶと＋３
E_HEL_3007	プラチナヘッド＋３
E_HEL_3008	アイアンヘッドギア＋３
E_HEL_3009	サタンヘルム＋３
E_HEL_3010	ミスリルヘルム＋３
E_HEL_3011	知力のかぶと＋３
E_HEL_3012	猛牛ヘルム＋３
E_HEL_3013	グレートヘルム＋３
E_HEL_3014	メタスラヘルム＋３
E_HEL_3015	ユグノアのかぶと＋３
E_HEL_3016	聖女のティアラ＋３
E_HEL_3017	戦姫のティアラ＋３
E_HEL_3018	ユグノアの王冠＋３
E_HEL_3019	ドクロのかぶと＋３
E_HEL_3020	はぐれメタルヘルム＋３
E_HEL_3022	メタルキングヘルム＋３
E_HEL_3023	しんぱんのかぶと＋３
E_HEL_3024	勇者のかぶと＋３
E_HEL_3025	アーウィンのかぶと＋３
E_HEL_3026	アテナのかんむり＋３
E_HEL_3027	ミネルヴァのティアラ＋３
E_HEL_3028	太陽のかんむり＋３
E_HEL_3029	大樹の王冠＋３
E_HEL_3030	英雄王のかぶと＋３
E_HEL_3031	アポロンのかんむり＋３
E_LSH_0001	せいどうの盾
E_LSH_0002	てつの盾
E_LSH_0003	はがねの盾
E_LSH_0004	デルカダールの盾
E_LSH_0005	プラチナシールド
E_LSH_0006	戦士の盾
E_LSH_0007	ドラゴンシールド
E_LSH_0008	ダークシールド
E_LSH_0009	聖女の盾
E_LSH_0010	オーガシールド
E_LSH_0011	はめつの盾
E_LSH_0012	女神の盾
E_LSH_0013	英雄王の盾
E_LSH_1001	せいどうの盾＋１
E_LSH_1002	てつの盾＋１
E_LSH_1003	はがねの盾＋１
E_LSH_1004	デルカダールの盾＋１
E_LSH_1005	プラチナシールド＋１
E_LSH_1006	戦士の盾＋１
E_LSH_1007	ドラゴンシールド＋１
E_LSH_1008	ダークシールド＋１
E_LSH_1009	聖女の盾＋１
E_LSH_1010	オーガシールド＋１
E_LSH_1011	はめつの盾＋１
E_LSH_1012	女神の盾＋１
E_LSH_1013	英雄王の盾＋１
E_LSH_2001	せいどうの盾＋２
E_LSH_2002	てつの盾＋２
E_LSH_2003	はがねの盾＋２
E_LSH_2004	デルカダールの盾＋２
E_LSH_2005	プラチナシールド＋２
E_LSH_2006	戦士の盾＋２
E_LSH_2007	ドラゴンシールド＋２
E_LSH_2008	ダークシールド＋２
E_LSH_2009	聖女の盾＋２
E_LSH_2010	オーガシールド＋２
E_LSH_2011	はめつの盾＋２
E_LSH_2012	女神の盾＋２
E_LSH_2013	英雄王の盾＋２
E_LSH_3001	せいどうの盾＋３
E_LSH_3002	てつの盾＋３
E_LSH_3003	はがねの盾＋３
E_LSH_3004	デルカダールの盾＋３
E_LSH_3005	プラチナシールド＋３
E_LSH_3006	戦士の盾＋３
E_LSH_3007	ドラゴンシールド＋３
E_LSH_3008	ダークシールド＋３
E_LSH_3009	聖女の盾＋３
E_LSH_3010	オーガシールド＋３
E_LSH_3011	はめつの盾＋３
E_LSH_3012	女神の盾＋３
E_LSH_3013	英雄王の盾＋３
E_ROB_0001	きぬのローブ
E_ROB_0002	まじないしの服
E_ROB_0003	まじょの服
E_ROB_0004	やすらぎのローブ
E_ROB_0005	まほうの法衣
E_ROB_0006	ふしぎなボレロ
E_ROB_0007	賢者のローブ
E_ROB_0008	だいまどうローブ
E_ROB_0009	ウィッチローブ
E_ROB_0010	プリンスコート
E_ROB_0011	キングコート
E_ROB_0012	クインローブ
E_ROB_0013	エンペラーコート
E_ROB_0014	エンプレスローブ
E_ROB_0015	戦姫のドレス
E_ROB_0016	天使のローブ
E_ROB_0017	紅蓮のローブ
E_ROB_0018	みずのはごろも
E_ROB_0019	やみのころも
E_ROB_0020	ドラゴンローブ
E_ROB_0021	セラフィムのローブ
E_ROB_0022	とこしえの法衣
E_ROB_0023	ミネルヴァドレス
E_ROB_0024	プリンセスローブ
E_ROB_1001	きぬのローブ＋１
E_ROB_1002	まじないしの服＋１
E_ROB_1003	まじょの服＋１
E_ROB_1004	やすらぎのローブ＋１
E_ROB_1005	まほうの法衣＋１
E_ROB_1006	ふしぎなボレロ＋１
E_ROB_1007	賢者のローブ＋１
E_ROB_1008	だいまどうローブ＋１
E_ROB_1009	ウィッチローブ＋１
E_ROB_1010	プリンスコート＋１
E_ROB_1011	キングコート＋１
E_ROB_1012	クインローブ＋１
E_ROB_1013	エンペラーコート＋１
E_ROB_1014	エンプレスローブ＋１
E_ROB_1015	戦姫のドレス＋１
E_ROB_1016	天使のローブ＋１
E_ROB_1017	紅蓮のローブ＋１
E_ROB_1018	みずのはごろも＋１
E_ROB_1019	やみのころも＋１
E_ROB_1020	ドラゴンローブ＋１
E_ROB_1021	セラフィムのローブ＋１
E_ROB_1022	とこしえの法衣＋１
E_ROB_1023	ミネルヴァドレス＋１
E_ROB_1024	プリンセスローブ＋１
E_ROB_2001	きぬのローブ＋２
E_ROB_2002	まじないしの服＋２
E_ROB_2003	まじょの服＋２
E_ROB_2004	やすらぎのローブ＋２
E_ROB_2005	まほうの法衣＋２
E_ROB_2006	ふしぎなボレロ＋２
E_ROB_2007	賢者のローブ＋２
E_ROB_2008	だいまどうローブ＋２
E_ROB_2009	ウィッチローブ＋２
E_ROB_2010	プリンスコート＋２
E_ROB_2011	キングコート＋２
E_ROB_2012	クインローブ＋２
E_ROB_2013	エンペラーコート＋２
E_ROB_2014	エンプレスローブ＋２
E_ROB_2015	戦姫のドレス＋２
E_ROB_2016	天使のローブ＋２
E_ROB_2017	紅蓮のローブ＋２
E_ROB_2018	みずのはごろも＋２
E_ROB_2019	やみのころも＋２
E_ROB_2020	ドラゴンローブ＋２
E_ROB_2021	セラフィムのローブ＋２
E_ROB_2022	とこしえの法衣＋２
E_ROB_2023	ミネルヴァドレス＋２
E_ROB_2024	プリンセスローブ＋２
E_ROB_3001	きぬのローブ＋３
E_ROB_3002	まじないしの服＋３
E_ROB_3003	まじょの服＋３
E_ROB_3004	やすらぎのローブ＋３
E_ROB_3005	まほうの法衣＋３
E_ROB_3006	ふしぎなボレロ＋３
E_ROB_3007	賢者のローブ＋３
E_ROB_3008	だいまどうローブ＋３
E_ROB_3009	ウィッチローブ＋３
E_ROB_3010	プリンスコート＋３
E_ROB_3011	キングコート＋３
E_ROB_3012	クインローブ＋３
E_ROB_3013	エンペラーコート＋３
E_ROB_3014	エンプレスローブ＋３
E_ROB_3015	戦姫のドレス＋３
E_ROB_3016	天使のローブ＋３
E_ROB_3017	紅蓮のローブ＋３
E_ROB_3018	みずのはごろも＋３
E_ROB_3019	やみのころも＋３
E_ROB_3020	ドラゴンローブ＋３
E_ROB_3021	セラフィムのローブ＋３
E_ROB_3022	とこしえの法衣＋３
E_ROB_3023	ミネルヴァドレス＋３
E_ROB_3024	プリンセスローブ＋３
E_SHI_0001	おなべのふた
E_SHI_0002	皮の盾
E_SHI_0003	うろこの盾
E_SHI_0004	シルバートレイ
E_SHI_0005	ゴールドトレイ
E_SHI_0006	ライトシールド
E_SHI_0007	プラチナトレイ
E_SHI_0008	まほうの盾
E_SHI_0009	ほのおの盾
E_SHI_0010	こおりの盾
E_SHI_0011	ホワイトシールド
E_SHI_0012	せいれいの盾
E_SHI_0013	メタスラの盾
